#adr,size,data,comment1,comment2
#servo send,,,,
0x00a0,1,1,MU8_SBUS+SBUS_PROTOCOL,1:futaba
0x00a1,1,1,MU8_SBUS+SBUS_N,1個
0x00a2,1,1,MU8_SBUS+SBUS_ID0+0, servo#0 ID
#servo read,,,,
0x00c0,1,1,MU8_SBUS_R0+SBUS_PROTOCOL,1:futaba
0x00c1,1,1,MU8_SBUS_R0+SBUS_N,1個
0x00c2,1,1,MU8_SBUS_R0+SBUS_ID0+0, servo#0 ID
0x00d0,1,0,MU8_SBUS_R1+SBUS_PROTOCOL,0:none
0x00e0,1,0,MU8_SBUS_R2+SBUS_PROTOCOL,0:none
0x00f0,1,0,MU8_SBUS_R3+SBUS_PROTOCOL,0:none
#servo limit,,,,
0x0e00,2,-1500,MS16_SV_POSL0+2*0,
0x0e02,2,-1500,MS16_SV_POSL0+2*1,
0x0e04,2,-1500,MS16_SV_POSL0+2*2,
0x0e06,2,-1500,MS16_SV_POSL0+2*3,
0x0e08,2,-1500,MS16_SV_POSL0+2*4,
0x0e0a,2,-1500,MS16_SV_POSL0+2*5,
0x0e0c,2,-1500,MS16_SV_POSL0+2*6,
0x0e0e,2,-1500,MS16_SV_POSL0+2*7,
#:,:,:,:,
0x0e40,2,1500,MS16_SV_POSH0+2*0,
0x0e42,2,1500,MS16_SV_POSH0+2*1,
0x0e44,2,1500,MS16_SV_POSH0+2*2,
0x0e46,2,1500,MS16_SV_POSH0+2*3,
0x0e48,2,1500,MS16_SV_POSH0+2*4,
0x0e4a,2,1500,MS16_SV_POSH0+2*5,
0x0e4c,2,1500,MS16_SV_POSH0+2*6,
0x0e4e,2,1500,MS16_SV_POSH0+2*7,
#:,:,:,:,
#servo enable,,,,
0x0048,2,1,MS16_SERVOEN,
0x004a,2,1,MS16_SVSENDEN,
0x004c,2,1,MS16_IXSENDEN,
#IXDESC,,,,
0x0100,1,1,IX_TYPE,PCA9634
0x0101,1,20,IX_SIZE,20bytes
0x0102,1,0x04,IX_ADR,vs-rc019/vs-rc020
0x0103,1,0,IX_STS,
0x0104,2,0x0c80,LED0参照アドレス,MS16_IP_OPOS0+0x80
0x0106,2,0x0c82,LED1参照アドレス,MS16_IP_OPOS0+0x82
0x0108,2,0x0c84,LED2参照アドレス,MS16_IP_OPOS0+0x84
0x010a,2,0x0c86,LED3参照アドレス,MS16_IP_OPOS0+0x86
0x010c,2,0x0c88,LED4参照アドレス,MS16_IP_OPOS0+0x88
0x010e,2,0x0c8a,LED5参照アドレス,MS16_IP_OPOS0+0x8a
#0x0110,2,0x0c8c,LED6参照アドレス,MS16_IP_OPOS0+0x8c
0x0110,2,0x008a,LED6参照アドレス,MS16_AUDIODIF
0x0112,2,0x0c8e,LED7参照アドレス,MS16_IP_OPOS0+0x8e
0x0114,1,1,IX_TYPE,PCA9634
0x0115,1,20,IX_SIZE,20bytes
0x0116,1,0x05,IX_ADR,vs-ix201
0x0117,1,0,IX_STS,
0x0118,2,0x0c90,LED0参照アドレス,MS16_IP_OPOS0+0x90
0x011a,2,0x0c92,LED1参照アドレス,MS16_IP_OPOS0+0x92
0x011c,2,0x0c94,LED2参照アドレス,MS16_IP_OPOS0+0x94
0x011e,2,0x0c96,LED3参照アドレス,MS16_IP_OPOS0+0x96
0x0120,2,0x0c98,LED4参照アドレス,MS16_IP_OPOS0+0x98
0x0122,2,0x0c9a,LED5参照アドレス,MS16_IP_OPOS0+0x9a
#0x0124,2,0x0c9c,LED6参照アドレス,MS16_IP_OPOS0+0x9c
0x0124,2,0x008a,LED6参照アドレス,MS16_AUDIODIF
0x0126,2,0x0c9e,LED7参照アドレス,MS16_IP_OPOS0+0x9e
#インテリジェントマイク,,,,
#0x0128,1,2,IX_TYPE,インテリジェントマイク
#0x0129,1,6,IX_SIZE,6bytes
#0x012a,1,0x3a,IX_ADR,インテリジェントマイク
#0x012b,1,0,IX_STS,
#0x012c,1,0,(内部使用),(内部使用)
#0x012d,1,0,(内部使用),(内部使用)
#end,,,,
0x012e,1,0,END,
0x012f,1,0,END,
0x0044,2,0x0100,MU16_IXBUSPTR,MU8_IXDESC
#servo offset,,,,
0x0ec2,2,0,MS16_SV_OFS0+1*2,
0x0ec4,2,105,MS16_SV_OFS0+2*2,
0x0ec6,2,0,MS16_SV_OFS0+3*2,
0x0ec8,2,-105,MS16_SV_OFS0+4*2,
0x0eca,2,0,MS16_SV_OFS0+5*2,
0x0ecc,2,0,MS16_SV_OFS0+6*2,
0x0ece,2,0,MS16_SV_OFS0+7*2,
0x0ed0,2,0,MS16_SV_OFS0+8*2,
#トルクリミッタ作動検出,:,,,
0x0054,2,20,フレーム数,
0x0056,2,150,偏差角度,
0x0058,2,50,リミットトルク,
